booking_count,total_revenue,density_score,avg_revenue_per_booking,hotspot_rank
0.0,0.0,3.2736098533242878e-06,0.0,1487.0
0.0,0.0,3.5876946551007166e-06,0.0,1332.0
0.0,0.0,3.12470606945112e-06,0.0,1585.0
0.0,0.0,1.3490441558804909e-06,0.0,3445.0
0.0,0.0,2.7736706935071547e-06,0.0,1827.0
46.0,53456.55,1.6363749352442269e-06,1162.0989130434784,3002.0
0.0,0.0,3.877626486861347e-06,0.0,1176.0
0.0,0.0,1.0095819556929203e-06,0.0,4212.0
0.0,0.0,1.1653542782707774e-06,0.0,3798.0
194.0,75044.68,2.457462135715331e-06,386.82824742268036,2121.0
0.0,0.0,9.541666877618698e-07,0.0,4377.0
0.0,0.0,2.1795778279001965e-06,0.0,2373.0
0.0,0.0,1.6533197431874213e-06,0.0,2974.0
0.0,0.0,1.3048693923266455e-06,0.0,3527.0
0.0,0.0,1.6986945352617394e-06,0.0,2914.0
1.0,720.0,2.943965930664266e-06,720.0,1698.0
459.0,138902.03,1.9798776521888334e-06,302.6188017429194,2590.0
0.0,0.0,1.1656520147350765e-06,0.0,3797.0
0.0,0.0,3.0667823568779094e-06,0.0,1621.0
387.0,107843.45,2.914796241977459e-06,278.6652454780362,1718.0
0.0,0.0,2.44546057405348e-06,0.0,2135.0
0.0,0.0,1.491569873934191e-06,0.0,3209.0
0.0,0.0,1.682309316746658e-06,0.0,2931.0
0.0,0.0,2.1238120680669224e-06,0.0,2426.0
88.0,29519.079999999998,3.2170105451456294e-06,335.4440909090909,1519.0
0.0,0.0,1.3140222233137525e-06,0.0,3507.0
0.0,0.0,8.475600279364412e-07,0.0,4699.0
177.0,64518.25,7.849426511335468e-07,364.5098870056497,4883.0
0.0,0.0,2.000340996138977e-06,0.0,2563.0
0.0,0.0,2.768085504341446e-06,0.0,1834.0
0.0,0.0,2.27852497081591e-06,0.0,2285.0
0.0,0.0,2.8452820099259027e-06,0.0,1778.0
0.0,0.0,1.3440635916874055e-06,0.0,3455.0
16.0,1642.0,2.3374307935516663e-06,102.625,2239.0
0.0,0.0,6.790006760256253e-07,0.0,5222.0
0.0,0.0,8.058492272301963e-07,0.0,4814.0
0.0,0.0,1.0393394173493641e-06,0.0,4117.0
0.0,0.0,4.2463818225760267e-07,0.0,6120.0
0.0,0.0,1.8342365502425474e-06,0.0,2749.0
0.0,0.0,1.3004819816742127e-06,0.0,3535.0
0.0,0.0,2.3705963764969913e-06,0.0,2205.0
0.0,0.0,4.297831752728724e-07,0.0,6100.0
0.0,0.0,3.2296181326573265e-06,0.0,1510.0
0.0,0.0,8.159791517878376e-07,0.0,4789.0
0.0,0.0,7.528674566189252e-07,0.0,4971.0
0.0,0.0,2.0496469745247257e-06,0.0,2504.0
0.0,0.0,8.801267707899845e-07,0.0,4593.0
0.0,0.0,1.531399424639664e-06,0.0,3151.0
0.0,0.0,1.112007696011435e-06,0.0,3939.0
0.0,0.0,5.270126057289576e-07,0.0,5721.0
0.0,0.0,1.5138509069454739e-06,0.0,3179.0
0.0,0.0,8.329892223047674e-07,0.0,4741.0
0.0,0.0,4.2936939214602647e-07,0.0,6101.0
0.0,0.0,2.9448218296914985e-07,0.0,6710.0
349.0,50409.65,4.5754997184539914e-07,144.44025787965617,5981.0
0.0,0.0,1.3671992362255668e-07,0.0,7542.0
0.0,0.0,4.1441559789830003e-07,0.0,6173.0
0.0,0.0,3.343415284614623e-07,0.0,6503.0
0.0,0.0,4.654814300638942e-07,0.0,5945.0
0.0,0.0,4.37086374105301e-07,0.0,6069.0
0.0,0.0,4.5045059540128234e-07,0.0,6012.0
19.0,4328.6,1.9407869264558468e-07,227.82105263157897,7224.0
79.0,34145.0,4.809666041119857e-07,432.2151898734177,5884.0
0.0,0.0,4.3304196188835983e-07,0.0,6081.0
0.0,0.0,3.210259099210482e-07,0.0,6568.0
0.0,0.0,4.625731348267279e-07,0.0,5955.0
0.0,0.0,1.8956724021238305e-07,0.0,7248.0
304.0,84382.44,4.598738037714904e-07,277.5738157894737,5970.0
0.0,0.0,4.4651962187026236e-07,0.0,6025.0
29.0,6135.6900000000005,4.2058855731439427e-07,211.57551724137932,6137.0
19.0,13300.52,4.88115630986767e-07,700.0273684210526,5856.0
0.0,0.0,3.949436992578162e-07,0.0,6249.0
3.0,1420.0,3.8747249761371944e-07,473.3333333333333,6275.0
0.0,0.0,4.475511055149541e-07,0.0,6021.0
0.0,0.0,4.708531002984126e-07,0.0,5923.0
0.0,0.0,4.2789837890665915e-07,0.0,6108.0
0.0,0.0,2.7842164080499607e-08,0.0,8252.0
0.0,0.0,3.9310844876343237e-07,0.0,6255.0
0.0,0.0,3.950530653002497e-07,0.0,6248.0
0.0,0.0,4.6149388129354566e-07,0.0,5959.0
0.0,0.0,4.3751649626415184e-07,0.0,6068.0
0.0,0.0,1.9741473379446776e-07,0.0,7206.0
288.0,97411.59,1.1451620916411403e-06,338.2346875,3846.0
0.0,0.0,4.9134801592514154e-08,0.0,8156.0
0.0,0.0,1.8944810232920075e-07,0.0,7250.0
0.0,0.0,8.263182207690772e-08,0.0,7932.0
0.0,0.0,2.2479999347955475e-07,0.0,7050.0
0.0,0.0,1.7037029452606316e-08,0.0,8276.0
0.0,0.0,7.223519078204817e-08,0.0,8005.0
0.0,0.0,6.914644987838617e-07,0.0,5184.0
0.0,0.0,7.192001164346891e-07,0.0,5085.0
0.0,0.0,4.4180470884722504e-07,0.0,6052.0
0.0,0.0,2.420952965889241e-08,0.0,8260.0
