original_city,canonical_city,changed,original_bookings,canonical_bookings
SAN ROMAN - SANTANDER,Santander,True,506,6325
Sa Cabaneta,Sa Cabaneta,False,506,506
La Puebla de los Infantes,La Puebla de los Infantes,False,506,506
Aren,Madrid,True,506,61315
Arguineguin,Arguineguin,False,504,504
GARGANTILLA de LOZOYA,Segovia,True,504,7214
Fontanilles,"L'Escala, Girona",True,501,3166
"Argoños, Cantabria,",Castro-Urdiales,True,501,3920
"El Medano, Santa Cruz de Tenerife","El Medano, Santa Cruz de Tenerife",False,497,497
Banyeres del Penedès,Sitges,True,496,4574
Formentera,La Savina,True,495,2758
"El Pla Del Penedès, Barcelona",Sitges,True,494,4574
Castell de Castells,Calpe,True,493,2438
Santa Colomba de las Arrimadas,León,True,492,5305
"Güejar Sierra, Granada",Granada,True,492,8287
Cuevas del Almanzora,Mojácar,True,492,3106
Puebla de Alcocer,Puebla de Alcocer,False,491,491
 Freixinet,Cervera,True,491,3682
Salinas,"Candás, Asturias",True,490,2209
Pau,Roses,True,489,3009
"Santa María del Tiétar,","Santa María del Tiétar,",False,489,489
Fuenteheridos,Fuenteheridos,False,487,487
Villafranca del Bierzo,"Pedrafita do Cebreiro, Lugo",True,486,3013
"Candeleda, Ávila","Candeleda, Ávila",False,486,486
Osuna,Setenil de las Bodegas,True,484,5204
"Hiendelaencina, Guadalajara","Hiendelaencina, Guadalajara",False,483,483
Viladrau,Tossa de Mar,True,483,2191
L'estartit,"L'Escala, Girona",True,482,3166
Garós,Garós,False,482,482
Borredà,Borredà,False,480,480
Pinto,Madrid,True,479,61315
Aracena,Aracena,False,478,478
Arcos de la Frontera,"Las Cabezas de San Juan, Sevilla",True,476,2600
"Altron, Lleida","Altron, Lleida",False,476,476
Bizkaia,Bergara,True,470,2465
Banyoles,"L'Escala, Girona",True,470,3166
"Molló, Girona","Molló, Girona",False,469,469
Breña Alta,Breña Alta,False,469,469
Avinyonet de Puigventós,Roses,True,468,3009
El Tiemblo (Avila),El Tiemblo (Avila),False,462,462
" Vigo, Zamora,"," Vigo, Zamora,",False,461,461
Cortes de la Frontera ,Setenil de las Bodegas,True,461,5204
"Navarrete, ",Nájera,True,460,3163
castalla,Alicante,True,458,6701
Santa Eulalia del Río,La Savina,True,457,2758
"Es Camp de Mar, Balearic Islands","Es Camp de Mar, Balearic Islands",False,454,454
"Torrox Pueblo, Málaga","Nerja, Málaga",True,452,3965
"Berlanga del Duero, Soria","Berlanga del Duero, Soria",False,451,451
San Pedro del Pinatar,Torrevieja,True,450,5325
"Rota, Cádiz",Cádiz,True,450,2756
Múnter (Muntanyola),Múnter (Muntanyola),False,450,450
Terrassa,Barcelona,True,450,27987
