"id","number_of_rooms","max_occupancy","pricing_per_person_activated","max_adults","events_allowed","pets_allowed","smoking_allowed","children_allowed"
"59605",1,3,True,3,False,False,False,False
"56727",1,2,False,2,False,False,False,False
"89184",1,5,False,5,False,False,False,False
"54790",1,5,True,5,False,False,False,False
"52797",1,8,True,8,False,False,False,False
"961",1,3,True,3,False,False,False,False
"62819",2,4,False,4,False,False,False,False
"59181",1,4,True,4,False,False,False,False
"64738",1,10,True,10,False,False,False,False
"5509",1,2,False,2,False,False,False,False
"52279",1,10,False,10,False,False,False,False
"60557",3,4,True,4,False,False,False,False
"60998",1,2,True,2,False,False,False,False
"58571",1,2,False,2,False,False,False,False
"54794",1,5,True,5,False,False,False,False
"49769",1,2,False,2,False,False,False,False
"86371",1,4,False,4,False,False,False,False
"86372",1,4,False,4,False,False,False,False
"93403",2,4,False,4,False,False,False,False
"81511",1,6,False,6,False,False,False,False
"62368",1,4,True,4,False,False,False,False
"58561",1,12,False,12,False,False,False,False
"62689",1,3,False,2,False,False,False,False
"57365",1,4,False,4,False,False,False,False
"68426",1,4,True,4,False,False,False,False
"63325",1,4,True,4,False,False,False,False
"63987",1,1,False,1,False,False,False,False
"57368",1,4,False,4,False,False,False,False
"31956",1,4,False,4,False,False,False,False
"56373",1,4,False,3,False,False,False,False
"37915",1,1,False,1,False,False,False,False
"58179",1,3,True,3,False,False,False,False
"59182",1,6,True,6,False,False,False,False
"46584",1,4,False,4,False,False,False,False
"61001",1,6,False,6,False,False,False,False
"59441",2,2,False,2,False,False,False,False
"31957",1,4,False,4,False,False,False,False
"80937",1,4,True,4,False,False,False,False
"93497",1,4,False,4,False,False,False,False
"53763",1,3,False,3,False,False,False,False
"84614",1,5,True,5,False,False,False,False
"81109",1,3,False,2,False,False,False,False
"60772",1,2,False,2,False,False,False,False
"22866",1,4,True,4,False,False,False,False
"44750",1,5,True,4,False,False,False,False
"42554",1,6,False,6,False,False,False,False
"62804",1,8,False,6,False,False,False,False
"7654",1,120,True,120,False,False,False,False
"58653",1,4,False,4,False,False,False,False
"69819",3,3,False,3,False,False,False,False
"7639",1,100,True,100,False,False,False,False
"58655",1,6,False,4,False,False,False,False
"66532",1,6,False,6,False,False,False,False
"43667",1,4,False,2,False,False,False,False
"51142",1,2,True,2,False,False,False,False
"31958",1,4,False,4,False,False,False,False
"58597",1,2,False,2,False,False,False,False
"60999",1,3,True,3,False,False,False,False
"16254",6,3,False,2,False,False,False,False
"60450",1,4,False,4,False,False,False,False
"47657",1,8,False,1,False,False,False,False
"46034",3,4,False,4,False,False,False,False
"57756",1,4,False,4,False,False,False,False
"70050",3,2,False,2,False,False,False,False
"35867",1,35,False,35,False,False,False,False
"61178",1,7,True,7,False,False,False,False
"61544",1,1,False,1,False,False,False,False
"57719",1,5,False,4,False,False,False,False
"959",1,2,False,2,False,False,False,False
"31959",1,4,False,4,False,False,False,False
"60556",3,4,True,4,False,False,False,False
"75419",4,2,False,2,False,False,False,False
"58195",1,2,True,2,False,False,False,False
"46033",2,2,False,2,False,False,False,False
"62695",1,3,False,3,False,False,False,False
"48467",1,3,False,2,False,False,False,False
"14889",1,3,False,2,False,False,False,False
"53764",1,2,False,2,False,False,False,False
"60021",1,2,True,2,False,False,False,False
"70086",1,2,False,2,False,False,False,False
"81110",1,3,True,2,False,False,False,False
"89177",1,6,False,6,False,False,False,False
"63854",4,2,False,2,False,False,False,False
