hotel_id,median_price_premium,median_residual_pct,median_revpar,median_peer_revpar,avg_n_peers,n_periods,diagnosis
6137,-0.19496022938797541,2.675968224357187,6.338013698630137,3.374630308219178,74.83333333333333,6,UNDERPRICING
6206,0.411585424552637,5.394514458892504,24.363744292237442,3.2013465374660686,37.0,2,UNDERPRICING
6249,-0.027138233353786248,2.02115150977012,9.06828962818004,3.271596695555028,123.0,4,UNDERPRICING
6251,-0.04659340659340665,-0.40133561054609007,1.4103142626913778,3.618259600062982,87.0,13,OVERPRICING
6257,0.021710484355437265,4.599490115599949,12.41657191780822,2.8671385999125913,10.0,4,UNDERPRICING
6271,0.8202295800106263,2.4768497377333762,10.502043835616439,2.6164052684116967,48.75,4,UNDERPRICING
6276,-0.3222897704732436,-0.45369633408709614,2.556640857653365,4.371800391389432,75.61538461538461,13,OVERPRICING
6283,0.6417500000000002,-0.22680930488610115,4.497945205479452,4.767123287671233,81.0,1,OVERPRICING
6290,-0.2592133078026565,-0.46001533056805516,2.459808219178082,5.727079775494672,74.42857142857143,7,OVERPRICING
6291,0.5180478987131844,0.6174821858708015,3.7499817351598175,2.497179306345996,56.666666666666664,6,UNDERPRICING
6292,0.08019151114260979,-0.727262332028863,0.5609246575342466,3.312814997881655,55.6,5,OVERPRICING
6297,0.8935403471755344,-0.5284713028993887,1.496243700321326,5.47507689501402,91.4,5,OVERPRICING
6298,0.1554793511048776,-0.43247904119071856,1.7968184931506848,5.585226625205289,77.0,2,OVERPRICING
6299,0.2702476972050402,0.4199595968084563,5.62187214611872,3.6370638970961293,121.0,6,UNDERPRICING
6308,-0.07809492964635772,-0.5934547947283607,1.711703611457036,4.666469969999001,77.0,4,OVERPRICING
6333,0.1655897284234485,0.539001231266178,8.256929223744294,4.723680609940933,93.0,6,UNDERPRICING
6339,0.44505097755030737,-0.358376422290158,4.188671232876712,5.759525459963387,40.0,2,OVERPRICING
6342,0.10843622282829626,-0.08573815804348152,3.1346746575342466,4.330411925866237,41.857142857142854,7,FAIR
6358,-0.10458971412985603,3.801347010514358,25.74586301369863,5.7263292515117845,40.0,2,UNDERPRICING
6378,0.006203553348248773,1.7202017399999106,20.312087671232874,7.395515365766203,95.5,2,UNDERPRICING
6389,0.7101419771089109,-0.771195252579699,0.40401651893634166,2.450088024745912,69.0,8,OVERPRICING
6400,0.005914817575919232,-0.42225011718854233,2.270739726027397,4.123444094859331,57.0,2,OVERPRICING
6415,0.003738163484141535,0.43734537612165547,18.700013561643836,13.84617016025977,5.75,4,UNDERPRICING
6426,-0.48366768845709107,-0.8954973102259314,0.25087084148727984,4.953127425863392,75.5,6,OVERPRICING
6443,-0.016060481604926527,-0.22172511355208188,1.3102465753424657,1.4113384065108863,63.25,4,OVERPRICING
6445,0.5384519402851125,16.753043945619968,38.566842465753425,1.80345980299074,89.5,2,UNDERPRICING
6478,0.7091874435708507,0.6414391030481866,10.382118721461186,4.824511678893225,117.0,2,UNDERPRICING
6483,-0.2872325855840818,2.7455456802367664,10.36943378995434,3.429941398375365,159.5,2,UNDERPRICING
6490,0.2721283599087132,7.288420891755083,36.93212328767123,3.925354585779517,46.0,2,UNDERPRICING
6516,-0.015027684864241247,1.562666211805778,9.018606164383561,3.6989346000883785,37.0,2,UNDERPRICING
6530,-0.13676923255672546,-0.7365837757627292,0.15272602739726027,8.519582147772484,10.5,2,OVERPRICING
6539,-0.06431003509211869,3.850353808652011,23.389242009132417,5.024354027670323,107.0,1,UNDERPRICING
6542,-0.42636822668008595,0.23498339156003353,3.238958904109589,3.358121975328844,67.5,8,UNDERPRICING
