hotel_id,median_price_premium,median_occ_residual,median_expected_residual,median_diagnosis_residual,avg_price,avg_occupancy,n_days,diagnosis
10893,-0.2474547093482744,0.8028861443924438,-0.0011599561169486955,0.8040461005093924,162.9375,1.0,2,UNDERPRICING
10895,-0.8661527198469828,0.08246696311362717,-0.004060133461368953,0.08670959809578073,22.687432954610895,0.48011705,559,FAIR
10906,-0.16304832433103797,0.40283117732748686,-0.0007642970370785598,0.405540529935848,283.71153846153845,0.47435898,39,UNDERPRICING
10907,-0.7023768002715812,0.4059993878527151,-0.0032924257858079607,0.4091508232279891,219.5376050420168,0.5672269,119,UNDERPRICING
10911,-0.0902973521962743,0.14845858328357858,-0.00042327327816955726,0.14810181237163245,187.45238095238093,0.27469388,35,UNDERPRICING
10912,-0.5926038341433465,0.06844259469480081,-0.002777859609753345,0.07133977159568161,82.241876685346,0.34631592,489,FAIR
10997,0.06949927113624658,0.13558999977108704,0.0003257812505984837,0.13338005736924233,357.9580062893082,0.31893083,265,EXCEPTIONAL_VALUE
11023,-0.09077786635884147,0.0898792376721578,-0.0004255257119325608,0.09082671350449102,249.4636715582037,0.20856515,140,FAIR
11040,-0.4126617083713109,0.08591972894629385,-0.0019343720477839382,0.08639606512824459,128.7811697077585,0.2601988,321,FAIR
11041,1.0528007656261027,0.18221731400736782,0.004935055353088934,0.17544233473117662,413.9144181818181,0.37393942,55,EXCEPTIONAL_VALUE
11042,0.42721372598999396,0.0561398220083269,0.0020025853458666173,0.055404070093095364,244.51971955128207,0.17478633,104,FAIR
11051,0.46003568012355317,0.11681115732444322,0.0021564398696609006,0.1140070195802558,256.970363138061,0.23004454,278,EXCEPTIONAL_VALUE
11052,-0.44196929340618674,0.16948183989323157,-0.002071752793633281,0.17118992036554126,281.8152176966292,0.41619852,356,UNDERPRICING
11063,-0.4729330189894704,0.18562937603683016,-0.0022168967797325744,0.18899521092697072,283.67084045584045,0.41096866,117,UNDERPRICING
11065,-0.3203789004784434,0.1282776443512195,-0.00150179184841551,0.1284270739867985,172.5341092366595,0.34828907,199,UNDERPRICING
11067,-0.5851723605790975,0.1483701276849087,-0.0027430242120294697,0.1512718410501021,72.40554871886332,0.69716644,534,UNDERPRICING
11068,-0.2513118187406354,0.1189556132647209,-0.0011780365068721399,0.12009750683277709,208.04922471910115,0.26502585,89,UNDERPRICING
11069,-0.21092771585923223,0.34157275112285457,-0.000988734039005829,0.3440976625909155,277.1892028985507,0.4456522,23,UNDERPRICING
11070,-0.1770155500234376,0.08556905427485276,-0.0008297690942536758,0.08670645493335806,124.2253419828869,0.23345256,128,FAIR
11071,-0.22164588843598237,0.1775407365532335,-0.0010389759999515592,0.17919667427391645,125.3419748427673,0.3441824,106,UNDERPRICING
11086,-0.24490696149856933,0.08280758515454284,-0.0011480134236352742,0.0835532261836269,425.4078364389234,0.17093901,184,FAIR
11087,0.352834402070486,0.9529993370614505,0.0016539286079036578,0.9507546572488879,1467.925517241379,1.0,58,EXCEPTIONAL_VALUE
11105,-0.1827502181752152,0.027261272153503616,-0.0008566506331778881,0.027188074259454492,467.28850021793284,0.12191854,423,FAIR
11114,0.9645090963297906,0.04237236879922037,0.0045211838121285725,0.04014780201869831,1870.3026205450733,0.12895308,159,FAIR
11115,0.8404781180597362,0.9326009678591661,0.0039397825031197665,0.9286611853560464,1774.4,1.0,2,EXCEPTIONAL_VALUE
11123,-0.4101266370834715,0.032639568894365825,-0.0019224887764775448,0.03455138416984417,201.58694425957344,0.13643485,147,FAIR
11139,-0.018823369753399682,0.1347008994196847,-8.823547122844553e-05,0.134472876346177,368.2144712643678,0.32528737,58,UNDERPRICING
11146,-0.7681343812956615,0.18066267946427605,-0.0036006676800338596,0.1841859248002342,52.256693136423095,0.67111486,449,UNDERPRICING
11152,-0.47970975552930595,0.15367687798482116,-0.0022486630654623345,0.15573326562269424,216.97978142076502,0.32322404,61,UNDERPRICING
11162,-0.4814111182001534,0.05987001215578948,-0.0022566382866347073,0.06178752126065125,122.47737381269057,0.25336617,425,FAIR
11163,-0.4291314424757599,0.2249494251024467,-0.002011574736184127,0.22606136026716717,298.87083333333334,0.453125,32,UNDERPRICING
11166,0.16658656005003358,0.2261451324941885,0.0007808826909796902,0.22407206018648895,387.4083333333333,0.3544558,70,EXCEPTIONAL_VALUE
11168,-0.8185569939738954,0.10771146650642041,-0.003837026156147299,0.11165290687992521,33.48472058561165,0.47470984,226,UNDERPRICING
11180,-0.30289299407459047,0.8032047328134511,-0.0014198258023986007,0.8054132395378055,542.1492592592593,1.0,27,UNDERPRICING
11190,0.036922064890168665,0.05885760008116113,0.0001730739945605584,0.05750618534989574,595.7966143350883,0.17203316,191,FAIR
11191,-0.6922040573101537,0.14709402910450556,-0.0032447405530017944,0.1499002818015212,104.01132074752097,0.34470415,437,UNDERPRICING
11195,0.17559911388956903,0.08792479783047935,0.000823129480232689,0.08629202593174684,660.3359468085106,0.24304077,188,FAIR
11197,-0.24161448095980395,0.024279575991243224,-0.0011325797592247888,0.025200875341229438,399.82608986148654,0.11953364,523,FAIR
11198,0.8686391864048714,0.12514299962073827,0.0040717888956139,0.12375729976096948,478.85571428571427,0.3436508,21,EXCEPTIONAL_VALUE
11213,0.3393842422033812,0.05270315170727744,0.001590880322207757,0.04967956272831094,572.7670481622307,0.18883307,263,FAIR
11214,-0.3736205502557276,0.9386453612376747,-0.0017513646995374545,0.9407301269609026,1242.631111111111,1.0,9,UNDERPRICING
11216,-0.6805295710126047,0.33876263195174394,-0.003190015824469688,0.34215922561157075,166.9531111111111,0.60555553,30,UNDERPRICING
11227,-0.15721143538767046,0.19695303468735875,-0.0007369363331677673,0.19784772240338117,132.42986838782562,0.31743088,76,UNDERPRICING
11232,-0.4954006161751749,0.12729350395410904,-0.002322214746229699,0.12956571667337147,118.08502869969536,0.3909181,36,UNDERPRICING
11248,-0.3743030706676654,0.09938975710260692,-0.0017545640475266468,0.10171969135164727,126.83690776334777,0.30913132,150,UNDERPRICING
11252,-0.498175999841582,0.11693683484498611,-0.002335224493626333,0.1191291110234671,101.17760367977556,0.49101442,592,UNDERPRICING
11257,0.24345692803858845,0.12032037538356935,0.001141216320496219,0.11918861004251557,428.3391223674655,0.34168485,459,EXCEPTIONAL_VALUE
11259,0.0318089326974023,0.025946327906860505,0.00014910593600395535,0.02491472450102772,257.96920408928776,0.12495152,412,FAIR
11262,-0.12456812027266782,0.9168981989982818,-0.0005839191885563097,0.9194077508575004,699.939393939394,1.0,33,UNDERPRICING
11271,1.0399442224267053,0.09036196285448454,0.0048747896747099164,0.08802903025060493,347.5381333333333,0.20666668,25,FAIR
