original_city,canonical_city,changed
"Altron, Lleida","Altron, Lleida",False
Santillana del Mar,Santillana del Mar,False
"Pontedeume, A Coruña,",A Coruña,True
"Busquístar, Granada",Granada,True
"Constantina, Sevilla",Sevilla,True
Santa Eulària des Riu,Santa Eulària des Riu,False
El Altet (Elche) Alicante,El Altet (Elche) Alicante,False
Turre - Almeria,Turre - Almeria,False
Borredà,Borredà,False
Mallorca,Mallorca,False
Xàtiva,Xàtiva,False
"Pantano de Cijara, Cáceres","Pantano de Cijara, Cáceres",False
"La Laguna, Santa Cruz de Tenerife",Santa cruz de Tenerife,True
la fresneda siero,la fresneda siero,False
Maria de la Salut,Maria de la Salut,False
Capellades,Capellades,False
Orihuela Costa,Orihuela Costa,False
"Puntagorda, La Palma","Puntagorda, La Palma",False
Granadilla,Granada,True
Benissivà,Benissa,True
Vega de San Mateo,Vega de San Mateo,False
"Cubells, Lleida","Cubells, Lleida",False
Santa Maria de Palautordera,Santa Maria de Palautordera,False
"San José, Almería","San José, Almería",False
La Cabrera,La Cabrera,False
Corduente,Corduente,False
"Santa Elena, Jaén",Jaén,True
LA CÁNDANA DE CURUEÑO - LEÓN,LA CÁNDANA DE CURUEÑO - LEÓN,False
Fuengirola ,Fuengirola ,False
Pesquera de Duero,Pesquera de Duero,False
Mahon,Mahon,False
Almería,Almería,False
El Rasillo de Cameros,El Rasillo de Cameros,False
Villarejo,Villarejo,False
"Santillana del Mar, Cantabria","Santillana del Mar, Cantabria",False
"Castissent, Lleida","Castissent, Lleida",False
Secadura,Secadura,False
"Calaceite, Teruel","Calaceite, Teruel",False
Bóveda ,Bóveda ,False
Tresviso,Tresviso,False
Torrelles de Foix,Torrelles de Foix,False
La Cala de Mijas,La Cala de Mijas,False
Cap d'Artrutx,Cap d'Artrutx,False
Cabezón de Liébana,Cabezón de Liébana,False
"Castroviejo, La Rioja","Castroviejo, La Rioja",False
"Fermoselle, Zamora",Zamora,True
"Punta Umbría, Huelva","Punta Umbría, Huelva",False
"Navaconcejo, Cáceres","Navaconcejo, Cáceres",False
Goizueta,Goizueta,False
"Sada, A Coruña",A Coruña,True
"Ciutadella de Menorca, Illes Balears","Maó, Illes Balears",True
ALMANSA,ALMANSA,False
"Fuentes de Oñoro, Salamanca",Salamanca,True
Villafranca del Bierzo,Villafranca del Bierzo,False
A CORUÑA,A Coruña,True
"Maó, Illes Balears","Maó, Illes Balears",False
Ayora,Ayora,False
"Adeje, Santa Cruz de Tenerife",Santa cruz de Tenerife,True
Gipuzkoa,"Donostia, Gipuzkoa",True
Los Cristianos,Los Cristianos,False
"Arona, Santa Cruz de Tenerife",Santa cruz de Tenerife,True
Aren,Aren,False
Pontedeume,Pontedeume,False
"Navarrete, ","Navarrete, ",False
Argelaguer,Argelaguer,False
Alojera - la Gomera ,Alojera - la Gomera ,False
Llanes,Llanes,False
"El Burgo de Osma, Soria","El Burgo de Osma, Soria",False
Puerto del Carmen,Puerto de la Cruz,True
Morella,Morella,False
FALSET,FALSET,False
Sanxenxo,Sanxenxo,False
Los Palacios y Villafranca,Los Palacios y Villafranca,False
BAZA,BAZA,False
"Calp, Alicante",Alicante,True
"Castellanos de Villiquera, Salamanca",Salamanca,True
Ingenio,Ingenio,False
El Albir,El Albir,False
Pereiro de Aguiar,Pereiro de Aguiar,False
castalla,castalla,False
Pandiello. Cabrales,Pandiello. Cabrales,False
JAÉN,Jaén,True
Maçanet de Cabrenys,Maçanet de Cabrenys,False
Sant Lluís,Sant Lluís,False
"Caspueñas, Guadalajara",Guadalajara,True
Marratxi,Marratxi,False
Cantonigròs,Cantonigròs,False
"RENAU, Tarragona",Tarragona,True
Cudillero,Cudillero,False
Miyares (Piloña),Miyares (Piloña),False
Arriondas (Parres),Arriondas (Parres),False
"El Barraco, Ávila","El Barraco, Ávila",False
Zarratón,Zarratón,False
Benamaurel,Benamaurel,False
"Cañamero, Cáceres,","Cañamero, Cáceres,",False
"Saldes, Catalunya","Saldes, Catalunya",False
Montgat,Montgat,False
"Setenil  de las bodegas, Cádiz,",Setenil de las Bodegas,True
Siguenza Guadalajara,"Sigüenza, Guadalajara",True
"Lukiano, Araba","Lukiano, Araba",False
Ripoll,Ripoll,False
"Corralejo, Las Palmas",Corralejo,True
"Chulilla, Valencia",Valencia,True
Chipiona,Chipiona,False
Valverde,Valverde,False
Cuellar,Cuellar,False
"Las Rozas, Asturias","Candás, Asturias",True
Cartagena,Artà,True
Valdealgorfa,Valdealgorfa,False
Motril,Motril,False
" Dúrcal, Granada",Granada,True
"Grañas do Sor, Mañón","Grañas do Sor, Mañón",False
"Rodezno, La Rioja,","Rodezno, La Rioja,",False
Deltebre,Deltebre,False
Viladrau,Viladrau,False
Quesa,Quesa,False
"Costa Adeje, Tenerife","Costa Adeje, Tenerife",False
Arguedas,Arguedas,False
Playa De L'Ingles - Maspalomas,Playa De L'Ingles - Maspalomas,False
"Tomeza, Pontevedra",Pontevedra,True
Campdevànol,Campdevànol,False
"Baeza, Jaén",Jaén,True
Yeste,Yeste,False
JEREZ DE LA FRONTERA,Jerez de la Frontera,True
La Isla,La Isla,False
Tudes,Tudes,False
Santa Colomba de las Arrimadas,Santa Colomba de las Arrimadas,False
Torroella de Montgrí,Torroella de Montgrí,False
"Regencós, Girona",Girona,True
"Abanillas, Cantabria","Abanillas, Cantabria",False
Rabós,Rabós,False
"El Mas de Gerembí, Tarragona",Tarragona,True
Begur,Begur,False
Vallgorguina,Vallgorguina,False
"Portocolom, Illes Balears","Maó, Illes Balears",True
Cahecho,Cahecho,False
La Frontera,Jerez de la Frontera,True
Candeleda,Candeleda,False
"Reíllo, Cuenca",Cuenca,True
Chiclana de la Frontera,Jerez de la Frontera,True
"Olot, Girona",Girona,True
Cambados,Cambados,False
Panticosa,Panticosa,False
Teverga,Teverga,False
Isla del Hierro,Isla del Hierro,False
"Colònia de Sant Jordi, Illes Balears","Maó, Illes Balears",True
Legazpi,Legazpi,False
Olmedo,Olmedo,False
"Darnius, Girona",Girona,True
Las palmas,Las Palmas de Gran Canaria,True
Valencia ,Valencia,True
"El Palo, Málaga",Málaga,True
Las Rozas de Madrid,Las Rozas de Madrid,False
Melilla,Melilla,False
San Cristóbal De La Laguna,San Cristóbal De La Laguna,False
Níjar ,Níjar ,False
Mondariz,Ronda,True
Talaván,Talaván,False
Taüll,Taüll,False
URDA,URDA,False
Benialí,Benialí,False
" Vigo, Zamora,",Zamora,True
"Calzada de Calatrava, Ciudad Real","Calzada de Calatrava, Ciudad Real",False
Monachil,Monachil,False
